StreetName,PreK-2School,City,Zip,Notes,MinHouse,MaxHouse,List
Abbey Rd,Doherty,West Bloomfield,48322,,,,
Aeroview,Gretchko,West Bloomfield,48324,,,,
Akron,Gretchko,West Bloomfield,48324,,,,
Alcott,Gretchko,West Bloomfield,48324,,,,
Alden,Gretchko,West Bloomfield,48324,,6341,6987,
Alden Ct,Gretchko,West Bloomfield,48324,,,,
Alder Dr,Gretchko,West Bloomfield,48324,,,,
Alderley Way,Doherty,West Bloomfield,48322,,,,
Aldwin,Gretchko,West Bloomfield,48324,,,,
Algonquin,Gretchko,West Bloomfield,48324,,,,
Allendale,Gretchko,West Bloomfield,48324,,,,
Andiron Ct,Doherty,West Bloomfield,48322,,,,
Andre,Roosevelt,Keego Harbor,48320,,,,
Andrea Ln,Doherty,West Bloomfield,48322,,,,
Applegrove Dr,Gretchko,West Bloomfield,48324,,,,
Apple Ridge Trail,Doherty,West Bloomfield,48322,,,,
Applewood,Doherty,West Bloomfield,48322,,,,
Arbor Ct,Gretchko,West Bloomfield,48324,,,,
Arcadia,Gretchko,Orchard Lake,48324,,,,
Arline,Doherty,Orchard Lake,48323,,,,
Arneth,Gretchko,West Bloomfield,48324,,,,
Arrowvale,Roosevelt,Orchard Lake,48324,,,,
Ashview,Gretchko,West Bloomfield,48324,,,,
Aspen Ridge Blvd,Doherty,West Bloomfield,48322,,,,
Aspenwood,Doherty,West Bloomfield,48322,,,,
Atlas,Roosevelt,Keego Harbor,48320,,,,
Auburndale,Gretchko,West Bloomfield,48324,,,,
Aurelia,Gretchko,West Bloomfield,48324,,,,
Autumn Ridge Dr,Doherty,West Bloomfield,48323,,,,
Autumn Ridge Ct,Doherty,West Bloomfield,48323,,,,
Bantry,Doherty,West Bloomfield,48322,,,,
Barnstable Ct,Doherty,West Bloomfield,48322,,,,
Bauervic Blvd,Doherty,West Bloomfield,48322,,,,
Bay Dr,Gretchko,West Bloomfield,48324,,,,
Bay Shore Dr,Gretchko,Orchard Lake,48324,,,,
Bayswater,Doherty,West Bloomfield,48322,,,,
Beach,Gretchko,Orchard Lake,48324,,,,
Beachland Blvd,Roosevelt,Keego Harbor,48320,,,,1447;1449;1451;1453;1457;1480;1481;1497;1528
Beachwood Dr,Gretchko,West Bloomfield,48324,,,,
Beachwood Ct,Gretchko,West Bloomfield,48324,,,,
Beauchamp Place,Doherty,West Bloomfield,48322,,,,
Beechcroft,Roosevelt,Keego Harbor,48320,,,,
Beechmont,Roosevelt,Keego Harbor,48320,,,,
Beechtree Trail,Doherty,West Bloomfield,48322,,,,
Beland,Roosevelt,Keego Harbor,48320,,,,
Bellows Ct,Doherty,West Bloomfield,48322,,,,
Belmont Cir,Doherty,West Bloomfield,48322,,,,
Bentley,Doherty,West Bloomfield,48322,,,,
Beverly,Roosevelt,Sylvan Lake,48320,,,,
Beverly Crest,Doherty,West Bloomfield,48322,,,,
Birchena Crescent,Gretchko,West Bloomfield,48324,,,,
Birch Ln,Gretchko,West Bloomfield,48324,,,,
Birchway,Gretchko,Orchard Lake,48324,,,,
Birdview,Gretchko,Orchard Lake,48324,,,,
Bloomfield Oaks Dr,Gretchko,West Bloomfield,48324,,,,
Blossom Dr,Gretchko,West Bloomfield,48324,,,,
Bluebird,Gretchko,Orchard Lake,48324,,,,
Blue Spruce Ct,Gretchko,West Bloomfield,48324,,,,
Bonnie Ct,Doherty,West Bloomfield,48322,,,,
Boxer,Doherty,West Bloomfield,48322,,,,
Boxwood Ct,Doherty,West Bloomfield,48322,,,,
Bradmore,Gretchko,West Bloomfield,48324,,,,
Bramblewood,Doherty,West Bloomfield,48322,,,,
Bravo Ct,Gretchko,Orchard Lake,48324,,,,
Breckenridge,Doherty,West Bloomfield,48322,,,,
Brett Ct,Doherty,West Bloomfield,48322,,,,
Brewster,Doherty,West Bloomfield,48322,,,,
Bridge Way,Doherty,West Bloomfield,48322,,,,
Bridge Way W,Doherty,West Bloomfield,48322,,,,
Bristol Ln,Doherty,West Bloomfield,48322,,,,
Bromley Ct,Doherty,West Bloomfield,48322,,,,
Brock,Roosevelt,Keego Harbor,48320,,,,
Brompton Dr,Doherty,West Bloomfield,48322,,,,
Brompton Ct,Doherty,West Bloomfield,48322,,,,
Brook Ln,Doherty,West Bloomfield,48322,,,,
Brook Hollow Ct,Doherty,West Bloomfield,48322,,,,
Browning Dr,Doherty,West Bloomfield,48323,,,,
Brynmawr,Doherty,West Bloomfield,48322,,,,
Brynmawr Ct,Doherty,West Bloomfield,48322,,,,
Buckland,Gretchko,West Bloomfield,48324,,,,
Bud,Doherty,West Bloomfield,48323,,,,
Bulwer,Roosevelt,Keego Harbor,48320,,,,
Bungalow,Gretchko,West Bloomfield,48324,,,,
Burtonwood,Doherty,West Bloomfield,48322,,,,
Buxton,Doherty,West Bloomfield,48322,,,,
Buxton Ct,Doherty,West Bloomfield,48322,,,,
Camron Ct,Gretchko,West Bloomfield,48324,,,,
Carmen Ct E,Gretchko,Orchard Lake,48324,,,,
Carmen Ct W,Gretchko,Orchard Lake,48324,,,,
Carol Ct,Doherty,West Bloomfield,48322,,,,
"Carol Run N,S,W,",Doherty,West Bloomfield,48322,,,,
Carpathian,Gretchko,West Bloomfield,48324,,,,
Carpathian Ct,Gretchko,West Bloomfield,48324,,,,
Carrick,Gretchko,West Bloomfield,48324,,,,
Carroll Ln,Doherty,West Bloomfield,48322,,,,
Cass Lake Ave,Roosevelt,Keego Harbor,48320,,,,
Cass Lake Front,Roosevelt,Keego Harbor,48320,,,,
Cass Lake Rd,Roosevelt,Keego Harbor,48320,,1535,3123,
Cedar Grove Ct,Doherty,West Bloomfield,48322,,,,
Cedarhurst,Doherty,West Bloomfield,48322,,,,
Centerbrook,Doherty,West Bloomfield,48322,,,,
Charles Dr,Doherty,West Bloomfield,48322,,,,
Charles Ct,Doherty,West Bloomfield,48322,,,,
Charrington,Gretchko,West Bloomfield,48324,,,,
Charrington Ct,Gretchko,West Bloomfield,48324,,,,
Cherry Blossom Cir,Gretchko,West Bloomfield,48324,,,,
Cherry Crest,Doherty,West Bloomfield,48322,,,,
Cherry Hill Dr,Doherty,Orchard Lake,48323,,,,
